"filename", "language", "JSON", "Properties", "YAML", "PHP", "JavaScript", "XML", "CSS", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\sportify\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 3, 20
"c:\xampp\htdocs\sportify\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 9
"c:\xampp\htdocs\sportify\resources\views\admin\home.blade.php", "PHP", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\xampp\htdocs\sportify\resources\views\admin\info_usuario.blade.php", "PHP", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 11, 67
"c:\xampp\htdocs\sportify\resources\views\admin\profile.blade.php", "PHP", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 25, 104
"c:\xampp\htdocs\sportify\resources\views\admin\ver_administradores.blade.php", "PHP", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 10, 54
"c:\xampp\htdocs\sportify\resources\views\admin\ver_equipos.blade.php", "PHP", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\xampp\htdocs\sportify\resources\views\admin\ver_eventos.blade.php", "PHP", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\xampp\htdocs\sportify\resources\views\admin\ver_tematicas.blade.php", "PHP", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\xampp\htdocs\sportify\resources\views\admin\ver_usuarios.blade.php", "PHP", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 9, 56
"c:\xampp\htdocs\sportify\resources\views\auth\login.blade.php", "PHP", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 17, 79
"c:\xampp\htdocs\sportify\resources\views\auth\passwords\confirm.blade.php", "PHP", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\xampp\htdocs\sportify\resources\views\auth\passwords\email.blade.php", "PHP", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\xampp\htdocs\sportify\resources\views\auth\passwords\reset.blade.php", "PHP", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 14, 72
"c:\xampp\htdocs\sportify\resources\views\auth\register.blade.php", "PHP", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 0, 84, 327
"c:\xampp\htdocs\sportify\resources\views\auth\verify.blade.php", "PHP", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\xampp\htdocs\sportify\resources\views\crear_enfrentamiento.blade.php", "PHP", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 20, 95
"c:\xampp\htdocs\sportify\resources\views\editar_evento.blade.php", "PHP", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 37, 143
"c:\xampp\htdocs\sportify\resources\views\entidad\calendario.blade.php", "PHP", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 13, 57
"c:\xampp\htdocs\sportify\resources\views\entidad\crear_equipamiento.blade.php", "PHP", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 32, 120
"c:\xampp\htdocs\sportify\resources\views\entidad\crear_evento.blade.php", "PHP", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 45, 171
"c:\xampp\htdocs\sportify\resources\views\entidad\crear_pista.blade.php", "PHP", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 31, 119
"c:\xampp\htdocs\sportify\resources\views\entidad\equipamientos.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\entidad\foros.blade.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\xampp\htdocs\sportify\resources\views\entidad\home.blade.php", "PHP", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\xampp\htdocs\sportify\resources\views\entidad\mis_eventos.blade.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\xampp\htdocs\sportify\resources\views\entidad\pistas.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\entidad\profile.blade.php", "PHP", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 41, 162
"c:\xampp\htdocs\sportify\resources\views\evento_concreto.blade.php", "PHP", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 10, 60
"c:\xampp\htdocs\sportify\resources\views\eventos.blade.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 9, 37
